Director,Star1
Taika Waititi,Roman Griffin Davis
Denis Villeneuve,Amy Adams
J.J. Abrams,Daisy Ridley
Richard Linklater,Ethan Hawke
Bryan Singer,Patrick Stewart
Nuri Bilge Ceylan,Muhammet Uzuner
Michel Hazanavicius,Jean Dujardin
Doug Liman,Tom Cruise
Michael Haneke,Jean-Louis Trintignant
Martin Scorsese,Robert De Niro
Jacques Audiard,Tahar Rahim
Duncan Jones,Sam Rockwell
Tomas Alfredson,Kåre Hedebrant
Neill Blomkamp,Sharlto Copley
Darren Aronofsky,Mickey Rourke
Imtiaz Ali,Shahid Kapoor
Richard Linklater,Ellar Coltrane
Cristian Mungiu,Anamaria Marinca
J.J. Abrams,Chris Pine
Martin McDonagh,Colin Farrell
Richard Schenkman,David Lee Smith
Clint Eastwood,Ken Watanabe
Tarsem Singh,Lee Pace
Ang Lee,Suraj Sharma
Wes Anderson,George Clooney
Jean-Marc Vallée,Michel Côté
Christophe Barratier,Gérard Jugnot
Jon Favreau,Robert Downey Jr.
Edgar Wright,Simon Pegg
Fatih Akin,Birol Ünel
Alfonso Cuarón,Daniel Radcliffe
Alfonso Cuarón,Julianne Moore
Guy Ritchie,Matthew McConaughey
Meghna Gulzar,Alia Bhatt
Darius Marder,Riz Ahmed
Asghar Farhadi,Shahab Hosseini
Christopher Nolan,Fionn Whitehead
Paolo Genovese,Giuseppe Battiston
Theodore Melfi,Taraji P. Henson
Paul King,Ben Whishaw
Abhishek Chaubey,Shahid Kapoor
Travis Knight,Charlize Theron
Neeraj Pandey,Sushant Singh Rajput
Kenneth Lonergan,Casey Affleck
Martin Zandvliet,Roland Møller
Gareth Edwards,Felicity Jones
Anthony Russo,Joe Russo
Quentin Tarantino,Samuel L. Jackson
Greta Gerwig,Saoirse Ronan
Dorota Kobiela,Hugh Welchman
Matthew Warchus,Bill Nighy
Asghar Farhadi,Bérénice Bejo
Paolo Sorrentino,Toni Servillo
Ritesh Batra,Irrfan Khan
Shoojit Sircar,Ayushmann Khurrana
Don Hall,Chris Williams
Richard Curtis,Domhnall Gleeson
Gauri Shinde,Sridevi
Hayao Miyazaki,Hideaki Anno
Josh Cooley,Tom Hanks
Giuseppe Tornatore,Geoffrey Rush
Wes Anderson,Jared Gilman
Dean DeBlois,Jay Baruchel
Adam McKay,Christian Bale
Tetsuya Nakashima,Takako Matsu
Jee-woon Kim,Lee Byung-Hun
David Fincher,Daniel Craig
Paul Greengrass,Tom Hanks
Jeong-beom Lee,Won Bin
F. Gary Gray,O'Shea Jackson Jr.
Bong Joon Ho,Hye-ja Kim
Hong-jin Na,Kim Yoon-seok
Peter Jackson,Ian McKellen
Michael Haneke,Christian Friedel
Niels Arden Oplev,Michael Nyqvist
Aaron Sorkin,Eddie Redmayne
Thomas Vinterberg,Mads Mikkelsen
David O. Russell,Mark Wahlberg
Pierre Morel,Liam Neeson
Mark Herman,Asa Butterfield
John Carney,Glen Hansard
Peter Jackson,Martin Freeman
Fatih Akin,Baki Davrak
Joe Wright,Keira Knightley
Nicolas Winding Refn,Ryan Gosling
Ridley Scott,Denzel Washington
James Cameron,Sam Worthington
Jaco Van Dormael,Jared Leto
Mel Gibson,Gerardo Taracena
Jonathan Dayton,Valerie Faris
Edgar Wright,Simon Pegg
David Fincher,Brad Pitt
Yash Chopra,Shah Rukh Khan
Anders Thomas Jensen,Ulrich Thomsen
Joe Wright,Keira Knightley
Roger Donaldson,Anthony Hopkins
Joss Whedon,Nathan Fillion
James Mangold,Joaquin Phoenix
Nick Cassavetes,Gena Rowlands
